Time,bean_temp,gas_setting
0,219.7,20
1,218.8,20
2,212,20
3,199.9,20
4,192.7,20
5,178.4,20
6,167.5,20
7,160.3,20
8,150.3,20
9,141.2,20
10,134.1,20
11,127.7,20
12,120.8,20
13,115.6,20
14,111.3,20
15,106.2,20
16,102,20
17,99.1,20
18,95.2,20
19,91.9,20
20,89.3,20
21,86.7,20
22,84.1,20
23,82.1,20
24,80.3,20
25,78.5,20
26,77.1,95
27,76.1,95
28,74.7,95
29,73.8,95
30,73.1,95
31,72.3,95
32,71.7,95
33,71.3,95
34,70.9,95
35,70.7,95
36,70.6,95
37,70.4,95
38,70.4,95
39,70.5,95
40,70.6,95
41,70.8,95
42,71,95
43,71.2,95
44,71.6,95
45,71.9,95
46,72.2,95
47,72.6,95
48,73.1,95
49,73.4,95
50,73.9,95
51,74.4,95
52,74.9,95
53,75.4,95
54,76,95
55,76.5,95
56,77,95
57,77.6,95
58,78.2,95
59,78.7,95
60,79.3,95
61,80,95
62,80.4,95
63,81.2,95
64,81.9,95
65,82.4,95
66,83.1,95
67,83.8,95
68,84.4,95
69,85,95
70,85.7,95
71,86.2,95
72,86.7,95
73,87.4,95
74,88.1,95
75,88.6,95
76,89.4,95
77,90.1,95
78,90.7,95
79,91.3,95
80,92.1,95
81,92.7,95
82,93.3,95
83,94.1,95
84,94.7,95
85,95.2,95
86,95.9,95
87,96.6,95
88,97.1,95
89,97.8,95
90,98.4,95
91,98.8,95
92,99.6,95
93,100.3,95
94,100.9,95
95,101.7,95
96,102.3,95
97,102.9,95
98,103.4,95
99,104.1,95
100,104.6,95
101,105.1,90
102,105.8,90
103,106.3,90
104,106.7,90
105,107.4,90
106,108,90
107,108.5,90
108,109.1,90
109,109.7,90
110,110.2,90
111,110.7,90
112,111.3,90
113,111.8,90
114,112.3,90
115,112.9,90
116,113.4,90
117,113.9,90
118,114.5,90
119,115.1,90
120,115.4,90
121,116.1,90
122,116.6,88
123,117,88
124,117.6,88
125,118.1,88
126,118.4,88
127,118.9,88
128,119.5,88
129,119.9,88
130,120.3,88
131,120.8,88
132,121.3,88
133,121.7,88
134,122.3,88
135,122.8,88
136,123.2,88
137,123.7,88
138,124.2,88
139,124.6,88
140,125.1,88
141,125.6,88
142,126,88
143,126.3,88
144,126.9,88
145,127.4,88
146,127.8,88
147,128.3,88
148,128.8,88
149,129.1,88
150,129.7,88
151,130.2,88
152,130.6,88
153,131.1,88
154,131.6,88
155,131.9,88
156,132.3,88
157,132.8,88
158,133.2,88
159,133.6,88
160,134,88
161,134.4,88
162,134.7,88
163,135.2,88
164,135.6,88
165,135.9,88
166,136.4,88
167,136.9,88
168,137.2,88
169,137.6,88
170,138,88
171,138.3,88
172,138.7,88
173,139.1,88
174,139.5,88
175,139.8,88
176,140.2,88
177,140.6,88
178,140.8,88
179,141.3,88
180,141.7,85
181,142,85
182,142.4,85
183,142.8,85
184,143.1,85
185,143.5,85
186,143.8,85
187,144.1,85
188,144.4,85
189,144.8,85
190,145.2,85
191,145.4,85
192,145.8,85
193,146.1,85
194,146.4,85
195,146.8,85
196,147.1,85
197,147.4,85
198,147.7,85
199,148.1,85
200,148.4,85
201,148.7,85
202,149.1,85
203,149.4,85
204,149.6,85
205,150,85
206,150.3,85
207,150.5,85
208,150.9,85
209,151.2,85
210,151.4,85
211,151.8,85
212,152.2,85
213,152.4,85
214,152.8,85
215,153.1,85
216,153.3,85
217,153.6,85
218,153.9,85
219,154.2,85
220,154.4,85
221,154.8,85
222,155.2,85
223,155.4,85
224,155.7,85
225,156,85
226,156.3,85
227,156.6,85
228,156.9,85
229,157.2,85
230,157.5,85
231,157.8,85
232,158.2,85
233,158.4,85
234,158.7,85
235,159,85
236,159.2,85
237,159.6,85
238,159.9,85
239,160.1,85
240,160.4,85
241,160.7,85
242,160.8,85
243,161.1,85
244,161.4,85
245,161.7,85
246,161.9,85
247,162.2,85
248,162.5,85
249,162.7,85
250,163.1,85
251,163.3,85
252,163.6,85
253,163.8,85
254,164.1,85
255,164.4,85
256,164.7,85
257,164.9,85
258,165.2,85
259,165.5,85
260,165.8,85
