Time,bean_temp,gas_setting
0,205.8,20
1,201.8,20
2,193.3,20
3,184.7,20
4,171.8,20
5,161.5,20
6,153.8,20
7,144.3,20
8,135.8,20
9,129.6,20
10,123.2,20
11,116.5,20
12,111.4,20
13,106.9,20
14,101.8,20
15,97.6,20
16,94.7,20
17,90.6,20
18,87.4,20
19,84.9,20
20,82.2,20
21,80,20
22,78.3,20
23,76.2,20
24,74.6,20
25,73.2,90
26,71.8,90
27,70.6,90
28,69.7,90
29,68.8,90
30,68,90
31,67.3,90
32,66.8,90
33,66.4,90
34,66.1,90
35,65.9,90
36,65.8,90
37,65.7,90
38,65.8,90
39,65.9,90
40,66.1,90
41,66.2,90
42,66.4,90
43,66.7,90
44,66.9,90
45,67.2,90
46,67.6,90
47,68,90
48,68.4,90
49,68.8,90
50,69.2,90
51,69.6,90
52,70.2,90
53,70.8,90
54,71.3,90
55,71.9,90
56,72.5,90
57,73.1,90
58,73.6,90
59,74.3,90
60,74.8,90
61,75.3,90
62,75.9,90
63,76.4,90
64,76.9,90
65,77.6,90
66,78.2,90
67,78.7,90
68,79.3,90
69,80.1,90
70,80.7,90
71,81.2,90
72,81.9,90
73,82.4,90
74,82.9,90
75,83.7,90
76,84.3,90
77,84.8,90
78,85.5,90
79,86.1,90
80,86.6,90
81,87.3,90
82,88,90
83,88.6,90
84,89.2,90
85,89.8,90
86,90.4,90
87,90.9,90
88,91.7,90
89,92.3,90
90,92.8,90
91,93.4,90
92,94.1,90
93,94.5,90
94,95.2,90
95,95.9,90
96,96.4,90
97,97.1,90
98,97.8,90
99,98.3,90
100,98.9,90
101,99.6,90
102,100.2,90
103,100.6,90
104,101.3,90
105,101.8,90
106,102.3,90
107,102.9,90
108,103.4,90
109,103.9,90
110,104.7,90
111,105.2,90
112,105.7,90
113,106.3,90
114,106.9,90
115,107.4,90
116,107.9,90
117,108.5,90
118,108.9,90
119,109.4,90
120,110,90
121,110.6,90
122,110.9,90
123,111.6,90
124,112.1,90
125,112.6,90
126,113.1,90
127,113.7,90
128,114.1,90
129,114.6,90
130,115.1,90
131,115.6,90
132,115.9,90
133,116.5,90
