Time,bean_temp,gas_setting
0,209.0,20
1,208.2,20
2,200.6,20
3,192.7,20
4,180.1,20
5,168.8,20
6,159.9,20
7,151.5,20
8,142.3,20
9,134.9,20
10,129.0,20
11,121.5,20
12,115.7,20
13,111.3,20
14,105.7,20
15,101.1,20
16,97.7,20
17,93.8,20
18,90.3,20
19,87.4,20
20,84.9,20
21,82.1,20
22,79.8,20
23,78.0,20
24,75.7,20
25,74.0,20
26,72.7,20
27,71.1,20
28,69.8,20
29,68.8,20
30,67.6,20
31,66.7,20
32,66.1,20
33,65.3,20
34,64.6,20
35,64.1,20
36,63.6,20
37,63.1,20
38,62.8,20
39,62.5,20
40,62.2,20
41,61.9,20
42,61.8,20
43,61.6,20
44,61.5,20
45,61.5,20
46,61.5,20
47,61.6,20
48,61.6,20
49,61.7,20
50,61.8,90
51,62.0,90
52,62.2,90
53,62.4,90
54,62.8,90
55,63.1,90
56,63.4,90
57,63.8,90
58,64.2,90
59,64.7,90
60,65.2,90
61,65.5,90
62,66.1,90
63,66.6,90
64,67.1,90
65,67.6,90
66,68.3,90
67,68.8,90
68,69.4,90
69,70.1,90
70,70.6,90
71,71.0,90
72,71.7,90
73,72.3,90
74,72.8,90
75,73.4,90
76,74.2,90
77,74.7,90
78,75.3,90
79,76.1,90
80,76.7,90
81,77.2,90
82,77.9,90
83,78.6,90
84,79.1,90
85,79.8,90
86,80.4,90
87,81.1,90
88,81.8,90
89,82.5,90
90,83.0,90
91,83.7,90
92,84.4,90
93,84.9,90
94,85.4,90
95,86.2,90
96,86.7,90
97,87.3,90
98,88.0,90
99,88.6,90
100,89.1,90
101,89.8,90
102,90.5,90
103,91.0,90
104,91.7,90
105,92.3,90
106,92.9,90
107,93.4,90
108,94.1,90
109,94.6,90
110,95.1,90
111,95.8,90
112,96.4,90
113,96.9,90
114,97.6,90
115,98.2,90
116,98.7,90
117,99.3,90
118,99.9,90
119,100.4,90
120,101.1,90
121,101.7,90
122,102.2,90
123,102.8,90
124,103.4,90
125,103.9,90
126,104.4,90
127,105.0,90
128,105.5,90
129,105.9,90
130,106.5,90
131,107.1,90
132,107.5,90
133,108.1,90
134,108.6,90
135,109.1,90
136,109.6,90
137,110.2,90
138,110.6,90
139,111.1,90
140,111.7,90
141,112.2,90
142,112.6,90
143,113.2,90
144,113.6,90
145,114.1,90
146,114.7,90
147,115.2,90
148,115.6,90
149,116.2,90
150,116.7,90
151,117.1,90
152,117.6,90
153,118.1,90
154,118.6,90
155,119.1,90
156,119.6,90
157,120.1,90
158,120.4,90
159,121.0,90
160,121.5,90
161,121.9,90
162,122.3,90
163,122.8,90
164,123.3,90
165,123.7,90
166,124.2,90
167,124.6,90
168,125.0,90
169,125.4,90
170,125.9,90
171,126.3,90
172,126.8,90
173,127.3,90
174,127.6,90
175,128.2,90
176,128.6,90
177,129.0,90
178,129.4,90
179,129.9,90
180,130.3,90
181,130.7,90
182,131.1,90
183,131.5,90
184,131.8,90
185,132.3,90
186,132.7,90
187,133.0,90
188,133.5,90
189,133.9,90
190,134.2,90
191,134.7,90
192,135.1,90
193,135.5,90
194,135.9,85
195,136.3,85
196,136.7,85
197,137.1,85
198,137.4,85
199,137.9,85
200,138.2,85
201,138.7,85
202,139.0,85
203,139.4,85
204,139.8,85
205,140.2,85
206,140.4,85
207,140.8,85
208,141.2,85
209,141.6,85
210,141.9,85
211,142.3,85
212,142.7,85
213,142.9,85
214,143.3,85
215,143.6,85
216,143.9,85
217,144.3,85
218,144.6,85
219,144.9,85
220,145.3,85
221,145.6,85
222,145.9,85
223,146.2,85
224,146.6,85
225,146.9,85
226,147.2,85
227,147.6,85
228,147.9,85
229,148.2,85
230,148.5,80
231,148.8,80
232,149.1,80
233,149.5,80
234,149.8,80
235,150.1,80
236,150.4,80
237,150.7,80
238,151.0,80
239,151.3,80
240,151.7,80
241,151.9,80
242,152.2,80
243,152.6,80
244,152.8,80
245,153.1,80
246,153.4,80
247,153.7,80
248,153.9,80
249,154.2,80
250,154.4,80
251,154.7,80
252,154.9,80
253,155.2,75
254,155.4,75
255,155.7,75
256,156.0,75
257,156.3,75
258,156.5,75
259,156.8,75
260,157.0,75
261,157.3,75
262,157.7,75
263,157.9,75
264,158.2,75
265,158.4,75
266,158.7,75
267,158.9,75
268,159.2,75
269,159.4,75
270,159.7,75
271,159.9,75
272,160.1,75
273,160.3,75
274,160.6,75
275,160.8,75
276,161.1,75
277,161.3,75
278,161.5,75
279,161.7,75
280,161.9,75
281,162.2,75
282,162.4,75
283,162.7,75
284,162.8,75
285,163.1,75
286,163.3,75
287,163.5,75
288,163.8,75
289,164.1,75
290,164.3,75
291,164.6,75
292,164.8,75
293,164.9,75
294,165.2,75
295,165.4,75
296,165.6,75
297,165.9,75
298,166.1,75
299,166.3,75
300,166.5,75
301,166.7,75
302,166.9,75
303,167.1,75
304,167.3,75
305,167.6,75
306,167.8,75
307,168.1,75
308,168.3,75
309,168.4,75
310,168.7,75
311,168.9,75
312,169.2,75
313,169.3,75
314,169.6,75
315,169.8,75
316,170.0,75
317,170.3,75
318,170.4,75
319,170.7,75
320,170.9,75
321,171.1,75
322,171.3,75
323,171.6,70
324,171.8,70
325,171.9,70
326,172.2,70
327,172.4,70
328,172.6,70
329,172.7,65
330,172.9,65
331,173.1,65
332,173.3,65
333,173.4,65
334,173.7,65
335,173.8,65
336,174.0,65
337,174.2,65
338,174.4,65
339,174.6,65
340,174.8,65
341,174.9,65
342,175.1,65
343,175.3,65
344,175.5,65
345,175.6,65
346,175.8,65
347,176.0,65
348,176.2,65
349,176.4,65
350,176.6,65
351,176.7,65
352,176.9,65
353,177.0,65
354,177.1,65
355,177.3,65
356,177.5,65
357,177.6,65
358,177.8,65
359,177.9,65
360,178.1,65
361,178.3,65
362,178.4,65
363,178.6,65
364,178.7,65
365,178.9,65
366,179.2,65
367,179.3,65
368,179.5,65
369,179.7,65
370,179.8,65
371,179.9,65
372,180.1,65
373,180.3,65
374,180.3,65
375,180.6,65
376,180.7,65
377,180.8,65
378,181.0,65
379,181.2,65
380,181.3,65
381,181.5,65
382,181.7,65
383,181.8,65
384,182.0,60
385,182.1,60
386,182.3,60
387,182.4,60
388,182.6,60
389,182.7,60
390,182.9,60
391,183.1,60
392,183.2,60
393,183.3,60
394,183.5,60
395,183.7,60
396,183.8,60
397,183.9,60
398,184.1,60
399,184.2,60
400,184.3,60
401,184.5,60
402,184.7,60
403,184.8,60
404,184.9,60
405,185.1,60
406,185.3,60
407,185.4,60
408,185.6,60
409,185.7,60
410,185.9,60
411,186.1,60
412,186.2,60
413,186.3,60
414,186.5,60
415,186.6,60
416,186.7,60
417,186.9,60
418,187.1,60
419,187.2,60
420,187.3,60
421,187.4,60
422,187.6,60
423,187.7,60
424,187.9,60
425,188.0,60
426,188.2,60
427,188.3,60
428,188.5,60
429,188.6,60
430,188.8,60
431,188.9,60
432,189.0,60
433,189.2,60
434,189.3,60
435,189.4,60
436,189.6,60
437,189.7,60
438,189.8,60
439,190.0,60
440,190.1,60
441,190.3,60
442,190.4,60
443,190.6,60
444,190.7,60
445,190.8,60
446,191.0,55
447,191.1,55
448,191.2,55
449,191.4,55
450,191.6,55
451,191.7,55
452,191.8,55
453,191.9,55
454,192.1,55
455,192.2,55
456,192.3,55
457,192.4,55
458,192.6,55
459,192.7,55
460,192.9,55
461,192.9,55
462,193.1,55
463,193.2,55
464,193.3,55
465,193.5,55
466,193.7,55
467,193.7,55
468,193.9,55
469,194.1,55
470,194.2,55
471,194.3,55
472,194.4,55
473,194.6,50
474,194.7,50
475,194.9,50
476,195.0,50
477,195.1,50
478,195.3,50
479,195.4,50
480,195.5,50
481,195.7,50
482,195.8,50
483,195.9,50
484,196.1,50
485,196.2,50
486,196.3,50
487,196.4,50
488,196.5,45
489,196.6,45
490,196.7,45
491,196.8,45
492,196.9,45
493,197.1,45
494,197.3,45
495,197.4,45
496,197.5,45
497,197.7,45
498,197.8,45
499,197.8,45
500,197.9,45
501,198.1,45
502,198.2,45
503,198.3,45
504,198.4,45
505,198.5,40
506,198.6,40
507,198.7,40
508,198.8,40
509,198.9,40
510,199.0,40
511,199.1,40
512,199.2,40
513,199.3,40
514,199.4,40
515,199.6,40
516,199.7,40
517,199.8,40
518,199.8,40
519,199.9,40
520,200.1,40
521,200.2,40
522,200.3,40
523,200.4,40
524,200.5,40
525,200.6,40
526,200.7,40
527,200.8,40
528,200.9,40
529,201.1,40
530,201.2,35
531,201.2,35
532,201.3,35
533,201.4,35
534,201.6,35
535,201.6,35
536,201.7,35
537,201.8,35
538,201.9,35
539,202.0,35
540,202.1,35
541,202.2,35
542,202.3,35
543,202.4,35
544,202.5,35
545,202.6,35
546,202.7,35
547,202.8,35
548,202.9,35
549,202.9,35
550,203.1,35
551,203.1,35
552,203.2,35
553,203.3,35
554,203.3,35
555,203.4,35
556,203.5,35
557,203.6,35
558,203.7,35
559,203.8,35
560,203.8,35
561,203.9,35
562,204.1,35
563,204.2,35
564,204.2,35
565,204.3,35
566,204.4,35
567,204.5,35
568,204.6,35
569,204.7,35
570,204.8,35
571,204.9,35
572,205.0,35
573,205.1,35
574,205.2,35
575,205.3,35
576,205.4,35
577,205.4,35
578,205.6,35
579,205.7,35
580,205.8,35
581,205.9,35
582,206.0,35
583,206.1,35
584,206.2,35
585,206.3,35
586,206.4,35
587,206.5,35
588,206.6,35
589,206.7,35
590,206.8,35
591,206.9,35
592,206.9,35
593,207.1,35
594,207.1,35
595,207.2,35
596,207.3,35
597,207.4,35
598,207.4,35
599,207.6,35
600,207.7,35
601,207.7,35
602,207.8,35
603,207.9,35
604,208.0,35
605,208.1,35
606,208.2,35
607,208.3,35
608,208.3,35
609,208.4,35
610,208.6,35
611,208.6,35
612,208.7,35
613,208.8,35
614,208.8,35
615,208.9,35
616,209.0,35
617,209.1,30
618,209.2,30
619,209.3,30
620,209.3,30
621,209.4,30
622,209.4,30
623,209.5,30
624,209.6,30
625,209.7,30
626,209.8,30
627,209.9,30
628,209.9,30
629,210.1,30
630,210.1,30
631,210.2,30
632,210.3,30
633,210.3,30
634,210.4,30
635,210.5,30
636,210.6,30
637,210.6,30
638,210.7,30
639,210.8,30
640,210.8,30
641,210.9,30
642,210.9,30
643,211.0,30
644,211.1,30
645,211.1,30
646,211.2,30
647,211.2,30
648,211.3,30
649,211.3,30
650,211.4,30
651,211.4,30
652,211.6,30
653,211.6,30
654,211.6,30
655,211.7,30
656,211.8,30
657,211.8,30
658,211.9,30
659,212.0,30
660,212.1,30
661,212.1,30
662,212.2,30
663,212.3,30
664,212.3,20
665,212.4,20
666,212.5,20
667,212.6,20
668,212.7,20
669,212.8,20
670,212.8,20
671,212.9,20
672,212.9,20
673,212.9,20
