Time,bean_temp,gas_setting
0,205.4,20
1,205.4,20
2,197.0,20
3,187.4,20
4,178.4,20
5,166.0,20
6,158.6,20
7,148.9,20
8,139.9,20
9,132.7,20
10,126.8,20
11,119.7,20
12,114.2,20
13,109.9,20
14,104.5,20
15,100.1,20
16,96.9,20
17,93.1,20
18,89.7,32
19,86.9,32
20,84.4,32
21,81.8,32
22,79.8,32
23,78.1,32
24,76.0,32
25,74.4,32
26,73.3,95
27,71.8,95
28,70.6,95
29,69.7,95
30,68.8,95
31,67.9,95
32,67.4,95
33,67.0,95
34,66.6,95
35,66.3,95
36,66.2,95
37,66.1,95
38,66.2,95
39,66.2,95
40,66.4,95
41,66.6,95
42,66.7,95
43,66.9,95
44,67.2,95
45,67.4,95
46,67.7,95
47,68.1,95
48,68.3,95
49,68.7,95
50,69.2,95
51,69.6,95
52,69.8,95
53,70.4,95
54,70.9,95
55,71.2,95
56,71.8,95
57,72.3,95
58,72.7,95
59,73.2,95
60,73.8,95
61,74.2,95
62,74.7,95
63,75.3,95
64,75.6,95
65,76.2,95
66,76.9,95
67,77.4,95
68,77.9,95
69,78.6,95
70,79.2,95
71,79.6,95
72,80.2,95
73,80.8,95
74,81.3,95
75,81.9,95
76,82.5,95
77,82.9,95
78,83.6,95
79,84.2,95
80,84.7,95
81,85.2,95
82,85.8,95
83,86.3,95
84,86.8,95
85,87.4,95
86,88.1,95
87,88.6,95
88,89.1,95
89,89.7,95
90,90.2,95
91,90.8,95
92,91.4,95
93,91.8,95
94,92.4,95
95,93.0,95
96,93.5,95
97,94.0,95
98,94.6,95
99,95.1,95
100,95.6,95
101,96.2,95
102,96.7,95
103,97.1,95
104,97.8,95
105,98.4,95
106,98.9,95
107,99.4,95
108,100.1,95
109,100.5,95
110,100.9,95
111,101.4,95
112,101.9,95
113,102.3,95
114,102.9,95
115,103.5,95
116,104.0,95
117,104.5,95
118,105.0,95
119,105.4,95
120,105.9,95
121,106.4,95
122,106.7,95
123,107.3,95
124,107.9,95
125,108.3,95
126,108.8,95
127,109.3,95
128,109.8,95
129,110.1,95
130,110.7,95
131,111.1,95
132,111.5,95
133,112.0,95
134,112.4,95
135,112.8,95
136,113.3,95
137,113.7,95
138,114.1,95
139,114.5,95
140,115.1,95
141,115.4,95
142,115.9,95
143,116.4,95
144,116.8,95
145,117.2,95
146,117.6,95
147,118.1,95
148,118.5,95
149,118.9,95
150,119.4,95
151,119.6,95
152,120.2,95
153,120.7,95
154,121.1,95
155,121.5,95
156,122.0,95
157,122.4,95
158,122.8,95
159,123.3,95
160,123.6,95
161,123.9,95
162,124.4,95
163,124.9,95
164,125.2,95
165,125.6,95
166,126.1,95
167,126.4,95
168,126.8,95
169,127.2,95
170,127.6,95
171,127.9,95
172,128.3,95
173,128.7,95
174,129.1,95
175,129.5,95
176,129.9,95
177,130.2,95
178,130.6,95
179,131.0,95
180,131.2,95
181,131.7,95
182,132.2,95
183,132.5,95
184,132.8,95
185,133.3,95
186,133.6,95
187,133.9,95
188,134.3,95
189,134.6,95
190,134.9,95
191,135.3,95
192,135.7,95
193,135.9,95
194,136.3,95
195,136.7,95
196,137.0,95
197,137.3,95
198,137.7,95
199,138.1,95
200,138.3,95
201,138.7,95
202,139.0,95
203,139.2,95
204,139.6,95
205,139.9,95
206,140.2,95
207,140.6,95
208,140.9,95
209,141.2,95
210,141.5,95
211,141.9,95
212,142.2,95
213,142.6,95
214,142.9,95
215,143.2,95
216,143.4,95
217,143.7,95
218,144.1,95
219,144.3,95
220,144.6,95
221,144.8,95
222,145.1,95
223,145.4,95
224,145.7,95
225,146.0,95
226,146.3,95
227,146.6,95
228,146.8,95
229,147.1,95
230,147.4,95
231,147.7,95
232,147.9,95
233,148.3,95
234,148.6,95
235,148.8,95
236,149.1,95
237,149.4,95
238,149.7,95
239,150.0,95
240,150.3,95
241,150.5,95
242,150.8,95
243,151.2,95
244,151.4,95
245,151.6,95
246,151.9,95
247,152.2,95
248,152.4,95
249,152.7,95
250,152.9,95
251,153.2,95
252,153.5,95
253,153.8,95
254,154.1,95
255,154.3,95
256,154.6,95
257,154.8,95
258,155.1,95
259,155.4,95
260,155.7,95
261,155.9,95
262,156.2,95
263,156.4,95
264,156.6,95
265,156.9,95
266,157.2,95
267,157.4,95
268,157.7,95
269,158.0,95
270,158.2,95
271,158.5,95
272,158.7,95
273,158.9,95
274,159.2,95
275,159.5,95
276,159.7,95
277,159.9,95
278,160.2,95
279,160.5,95
280,160.7,95
281,160.9,95
282,161.2,95
283,161.3,95
284,161.6,95
285,161.8,95
286,162.1,95
287,162.3,95
288,162.6,95
289,162.8,95
290,163.0,95
291,163.3,95
292,163.6,95
293,163.8,95
294,164.1,95
295,164.3,95
296,164.4,95
297,164.7,95
298,165.0,95
299,165.2,95
300,165.5,95
301,165.7,95
302,165.9,95
303,166.2,95
304,166.4,95
305,166.6,95
306,166.8,95
307,167.2,95
308,167.4,95
309,167.6,95
310,167.8,95
311,168.1,95
312,168.3,95
313,168.4,95
314,168.7,95
315,168.9,90
316,169.1,90
317,169.4,90
318,169.6,90
319,169.8,90
320,170.1,90
321,170.3,90
322,170.5,90
323,170.8,90
324,171.0,90
325,171.2,90
326,171.4,90
327,171.7,90
328,171.8,90
329,172.1,90
330,172.3,90
331,172.4,90
332,172.7,90
333,172.9,90
334,173.1,90
335,173.3,90
336,173.6,90
337,173.8,90
338,173.9,90
339,174.2,90
340,174.3,90
341,174.5,90
342,174.7,90
343,174.9,90
344,175.1,90
345,175.3,90
346,175.5,90
347,175.7,90
348,175.8,90
349,176.1,90
350,176.2,90
351,176.4,90
352,176.6,90
353,176.8,90
354,176.9,90
355,177.2,90
356,177.4,90
357,177.6,90
358,177.8,90
359,178.1,90
360,178.2,90
361,178.4,90
362,178.7,90
363,178.8,90
364,179.0,90
365,179.2,90
366,179.4,90
367,179.6,90
368,179.8,90
369,180.0,90
370,180.2,90
371,180.4,90
372,180.6,90
373,180.8,90
374,180.9,90
375,181.2,90
376,181.3,90
377,181.6,90
378,181.7,90
379,181.9,90
380,182.1,90
381,182.3,90
382,182.6,80
383,182.7,80
384,182.9,80
385,183.2,80
386,183.3,80
387,183.6,80
388,183.7,80
389,183.9,80
390,184.1,80
391,184.3,80
392,184.4,80
393,184.6,80
394,184.8,80
395,184.9,80
396,185.1,80
397,185.3,80
398,185.4,80
399,185.6,80
400,185.8,80
401,185.9,80
402,186.1,80
403,186.3,80
404,186.4,80
405,186.6,80
406,186.7,80
407,186.9,80
408,187.1,80
409,187.2,80
410,187.4,80
411,187.6,80
412,187.7,80
413,187.9,80
414,188.1,80
415,188.3,80
416,188.4,80
417,188.6,80
418,188.7,80
419,188.9,80
420,189.1,80
421,189.2,80
422,189.4,80
423,189.6,80
424,189.7,80
425,189.9,80
426,190.1,80
427,190.3,80
428,190.4,80
429,190.6,80
430,190.7,80
431,190.9,80
432,191.1,80
433,191.3,80
434,191.4,70
435,191.6,70
436,191.8,70
437,191.9,70
438,192.1,70
439,192.3,70
440,192.4,70
441,192.6,70
442,192.8,70
443,192.9,70
444,193.0,70
445,193.2,70
446,193.3,70
447,193.5,70
448,193.7,70
449,193.8,70
450,193.9,70
451,194.1,70
452,194.2,70
453,194.4,70
454,194.6,70
455,194.7,70
456,194.8,70
457,194.9,70
458,195.1,70
459,195.2,70
460,195.3,70
461,195.6,70
462,195.7,60
463,195.8,60
464,196.0,60
465,196.2,60
466,196.3,60
467,196.4,60
468,196.6,60
469,196.7,60
470,196.8,60
471,196.9,60
472,197.1,60
473,197.2,60
474,197.3,60
475,197.4,60
476,197.5,60
477,197.6,60
478,197.7,60
479,197.8,60
480,198.0,60
481,198.1,60
482,198.2,60
483,198.3,60
484,198.4,60
485,198.6,60
486,198.7,60
487,198.8,60
488,198.9,60
489,199.1,60
490,199.2,60
491,199.3,60
492,199.4,60
493,199.5,60
494,199.7,60
495,199.7,60
496,199.8,60
497,200.0,60
498,200.2,60
499,200.3,60
500,200.4,60
501,200.6,60
502,200.7,60
503,200.8,60
504,200.9,50
505,201.0,50
506,201.2,50
507,201.3,50
508,201.4,50
509,201.6,50
510,201.7,50
511,201.7,50
512,201.8,50
513,202.0,50
514,202.1,50
515,202.2,50
516,202.3,50
517,202.4,50
518,202.6,50
519,202.7,50
520,202.8,50
521,202.9,50
522,203.0,50
523,203.2,50
524,203.3,50
525,203.4,50
526,203.5,40
527,203.6,40
528,203.7,40
529,203.8,40
530,203.9,40
531,204.0,40
532,204.1,40
533,204.2,40
534,204.3,40
535,204.3,40
536,204.4,40
537,204.5,40
538,204.6,40
539,204.7,40
540,204.8,40
541,204.9,40
542,205.1,40
543,205.1,40
544,205.2,40
545,205.3,40
546,205.4,40
547,205.4,40
548,205.5,40
549,205.6,40
